title,Year,cast1,cast2, cast3, crew1, crew2, crew3, genre, Crime, Romance, Animation, Music, Comedy, TVMovie, Horror, War, Adventure, Thriller, Western, Mystery, Kids, ScienceFiction, Foreign, Drama, Action, Documentary, History, Family, Fantasy,,
When Borat Came to Town,2008,NA,NA,NA, Mercedes Stalenhoef,NA,NA, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Voice in the Mirror,1958, Richard Egan, Julie London, Walter Matthau, Harry Keller, Lawrence B. Marcus, George A. Gittens, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Le poulet,1962,NA,NA,NA, Claude Berri,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WEC 40: Torres vs. Mizugaki,2009, Takeya Mizugaki, Miguel Torres, Ben Henderson,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Inside Baby Sister,1977, Jody Egor, Kristine Heller, Don Holiday, Rik Taziner,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Zelly and Me,1988, Isabella Rossellini, Glynis Johns, David Lynch, Tina Rathborne, Tina Rathborne,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ma chi t'ha dato la patente?,1970, Franco Franchi, Ciccio Ingrassia,NA, Nando Cicero,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cinderella,2002, Tony Ail, Nathan Aswell, Chera Bailey, Toshiyuki Hiruma, Charles Perrault, George Arthur Bloom,Fantasy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
Panakkaran,1990, Rajnikanth, Gowthami, Vijayakumar, P. Vasu,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Inside America,2010,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Illtown,1996, Michael Rapaport, Lili Taylor, Adam Trese, Nick Gomez,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Muscle Beach Party,1964, Frankie Avalon, Annette Funicello, Don Rickles, William Asher, Robert Dillon,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Zero Effect,1998, Bill Pullman, Ben Stiller, Ryan O'Neal, Jake Kasdan, Jake Kasdan, Jim Behnke,Thriller,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
Adventure,1925, Tom Moore, Pauline Starke, Wallace Beery, Victor Fleming, Jack London, Gordon Rigby,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
Buddy's Circus,1934, Jack Carr,NA,NA, Jack King, Norman Spencer, Leon Schlesinger,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cheers From Heaven,2011, Hiroshi Abe, Nanami Sakuraba, Mimura, Makoto Kumazawa, Masaya Ozaki, Kimiko Ueno, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Eminem: AKA,2004, Anthony 'Treach' Criss, Debbie Mathers, Todd Nelson, Mike Corbera, Mike Corbera, Rick Underhill, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Wild Things: Diamonds in the Rough,2005, Serah D'Laine, Sandra McCoy, Dina Meyer, Stephen Peters, Jay Lowi, Andy Hurst,Mystery,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,
Il prossimo tuo,2009,NA,NA,NA, Anne Riitta Ciccone,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Private Gold 62: House of Games,2004, Bobbi Eden, Donna Marie, Ellen, Antonio Adamo,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Rush,2012, Emraan Hashmi, Neha Dhupia, Priyanka Ghose, Shamin Desai, Shamin Desai, Shamin Desai,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Warrior,1981, Barry Prima, Eva Arnaz, W.D. Mochtar, Sisworo Gautama Putra,NA,NA,Thriller,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,,
Klaas van der Eerden: Schwalbe,2011, Klaas van der Eerden,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cinematic Titanic: Doomsday Machine,2008, Joel Hodgson, Trace Beaulieu, Frank Conniff, Stoney Sharp,NA,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Bi Apple,1991, Simone Valentino, Mariah Ritani, Tasty Trixie, Audacia Ray,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
BMX Bandits,1983, Nicole Kidman, James Lugton, Angelo D'Angelo, Brian Trenchard-Smith, Russell Hagg, Tom Broadbridge,Drama,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
Ghosts of Mars,2001, Natasha Henstridge, Ice Cube, Jason Statham, Ken Wensevic, John Carpenter, Sandy King,ScienceFiction,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,
Ricochet River,2001, John Cullum, Eddie Thiel, Tyler Miller, Deborah Del Prete,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Citadel,1938, Robert Donat, Rosalind Russell, Ralph Richardson, King Vidor, A.J. Cronin, Ian Dalrymple, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Diaries (1971-1976),1982, Ed Pincus,NA,NA, Ed Pincus,NA,NA, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
The Holy Office,1974,NA,NA,NA, Arturo Ripstein,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Frankenstein,1987, Chris Sarandon,NA,NA, Burt Brinckerhoff, Mary Shelley, Marica Govons, Horror,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2 Days in the Valley,1996, Danny Aiello, Greg Cruttwell, Jeff Daniels, John Herzfeld, Herb Nanas, Jeff Wald,Crime,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hitlers Hantlangare - Mengele,2004,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fahrenheit,2012, Adam Killian, Trent Atkins, D.O., Bruno Bond, Steve Cruz,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Seeing Other People,2004, Jay Mohr, Julianne Nicholson, Josh Charles, Maya Forbes, Wallace Wolodarsky, Stewart Schill,Romance,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
P.J.,1968, George Peppard, Raymond Burr, Gayle Hunnicutt, John Guillermin, Philip H. Reisman Jr., Edward Montagne,Mystery,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,,
Bad History,1989,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Big Breast Nurses,2009, Abbey Brooks, Crista Moore, Jenny Hendrix, Bobby Manila, Bobby Manila,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Night of the Living Dead: Re-Animation,2012, Jeffrey Combs, Andrew Divoff, Sarah Lieving, Jeff Broadstreet, Jeff Broadstreet, Robert Valding, Horror,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
School Daze,1988, Laurence Fishburne, Giancarlo Esposito, Tisha Campbell-Martin, Spike Lee, Spike Lee, Spike Lee,Drama,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
A dog named Pain,2001,NA,NA,NA, Luis Eduardo Aute,NA,NA,Drama,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
The Mad Doctor of Market Street,1942, Lionel Atwill, Una Merkel, Nat Pendleton, Joseph H. Lewis, Al Martin, Jerome Ash,Thriller,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Apartment in Athens,2011, Laura Morante, Richard Sammel, Gerasimos Skiadaressis, Ruggero Dipaola,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Festival,2010,NA,NA,NA, Lee Hae-yeong,NA,NA, Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Sa'eedi in the American University,1998, Mohamed Henedi, Mona Zaki, Fathy Abdel Wahab,NA,NA,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Top Secret,1952, George Cole, Oskar Homolka, Nadia Gray, Mario Zampi,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Arcade Attack,1982,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Buppha Rahtree: Flower of the Night,2003, Laila Boonyasak, Krit Sripoomseth, Chompunoot Piyapane, Yuthlert Sippapak, Yuthlert Sippapak,NA,Horror,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Love War,1970, Lloyd Bridges, Angie Dickinson, Harry Basch, George McCowan, Daniel Kidd, Guerdon Trueblood, ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Front Page Woman,1935, Bette Davis, George Brent, Roscoe Karns, Michael Curtiz, Laird Doyle,NA,Romance,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Night Stalker,1972, Darren McGavin, Carol Lynley, Simon Oakland, Jeffrey Grant Rice, Dan Curtis, Hoyt Bowers,Thriller,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
My Foolish Heart,1950, Dana Andrews, Susan Hayward, Kent Smith, Mark Robson, Julius J. Epstein, Philip G. Epstein,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Blood Stalkers,1978,NA,NA,NA, Robert W. Morgan,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Doctors Don't Tell,1941, John Beal, Florence Rice, Edward Norris, Jacques Tourneur, Theodore Reeves, Edward Mann,Romance,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,
The Sandy Bottom Orchestra,2000,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bar Pussy,2010, Riley Steele, Kerry Louise, Larissa Dee, Robby D.,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
South Sea Sinner,1950, Shelley Winters, Liberace, Macdonald Carey, H. Bruce Humberstone,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Invincible Shaolin,1978, Sun Chien, Chiang Sheng, Lu Feng, Chang Cheh, Chang Cheh, Ni Kuang,Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
Petualangan Sherina,2000, Sherina Munaf, Mathias Muchus, Didi Petet, Riri Riza,NA,NA,Music,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,
Snake,2011, Douglas Reese,NA,NA, Douglas Reese, Douglas Reese, P.D. Salgoud, Horror,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Angela,2002, Victor Argo, Valerie Geffner, Ed Hodson, Amos Kollek, Amos Kollek,NA,Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,
Man of africa,1953, Frederick Bijuerenda, Gordon Heath, Violet Mukabuerza, Cyril Frankel, Montagu Slater,NA, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Il bambino di Betlemme,2002, Enrico Brignano, Michel Piccoli, Mohammed Bakri,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Naval Apprentices at Sail Drill on Historic Ship 'Constellation',1991,NA,NA,NA, James H. White,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Stenka Razin,1908, Yevgeni Petrov-Krayevsky,NA,NA, Vladimir Romashkov, Vasili Goncharov,NA, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Guns & Roses,1993, Simon Yam, Yoshie Sakakibara, Robin Shou, Phillip Ko Fei, Vincent Leung, Charcoal Tan   ,Thriller,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,,
The Unusual Suspects: Once Upon A Time In House Music,2009,NA,NA,NA,NA,NA,NA,Music,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Satan's Playground,2006, Felissa Rose, Ellen Sandweiss, Edwin Neal, Dante Tomaselli, Dante Tomaselli,NA, Horror,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Blossoming of Maximo Oliveros,2005, Nathan Lopez, Soliman Cruz , Neil Ryan Sese, Auraeus Solito, Michiko Yamamoto,NA,Drama,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Neil Young in Berlin,1983, Neil Young, Ralph Molina, Nils Lofgren, Michael Lindsay-Hogg,NA,NA, Music,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984, Peter Weller, John Lithgow, Ellen Barkin, W.D. Richter, Neil Canton, Michael Boddicker,ScienceFiction,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Straight Shooters,1947, Clarence Nash,NA,NA, Jack Hannah, Bill Justice, Volus Jones, Animation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Zombie Ferox,2002, Jimmy Alder, Jonathon Ash, Kimberly Kensington, Jonathon Ash, Jimmy Adler, Jonathon Ash,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Dark Half,1993, Timothy Hutton, Amy Madigan, Michael Rooker, George A. Romero, George A. Romero, Declan Baldwin,Mystery,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
Bejewelled,1991, Emma Samms, Paris Jefferson, Dirk Benedict, Terry Marcel,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Falling Awake,2010, Andrew Cisneros, Jenna Dewan, Nestor Serrano, Agustin, Agustin, Doug Klozzner,Thriller,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,
Indiscretion,2012, Landon Conrad, Tom Wolfe, Dakota Rivers, Steve Cruz, Steve Cruz,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Otstavnoy Kozy Barabanshchik,1981, Georgi Burkov, Tatyana Pelttser, Galina Polskikh, Georgi Mylnikov,NA,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pride 16: Beasts From The East,2001, Gary Goodridge, Yoshiaki Yatsu, Assuerio Silva,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Natural City,2003, Yoo Ji-Tae, Jae-un Lee, Rin Seo, Byung-chun Min, Byung-chun Min, Jun-kyu Lee, ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
The Return of the Soldier,1982, Alan Bates, Glenda Jackson, Ann-Margret, Alan Bridges, Hugh Whitemore, Rebecca West, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Tagore,2003, Chiranjeevi, Jyothika, Shriya Saran, Vinayak V.V., A.R. Murugadoss, Mani Sharma,Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,
Monk's Fight,1979, Chang Ling, Ling Yun, Casanova Wong, Yu Kang, Yu Chi-Lien,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Harry Warren: America's Foremost Composer,1933, Harry Warren, The Leaders, Gladys Brittain, Ray McCarey, Edwin B. DuPar,NA, Music,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Molly & The Ghost,1991, Lee Darling, Ena Henderson, Daniel Martine, Don Jones,NA,NA,Thriller,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
KARAK,2011, Shahir AF8, Shera Aiyob, Kilafairy, Yusry Abdul Halim, Norman Abdul Halim,NA, Horror,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Being W,2008, George W. Bush, Osama Bin Laden, Tony Blair, Michel Royer, Karl Zero, Elijah Tanumyroshgi, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Nicholas Nickleby,2002, Charlie Hunnam, Nathan Lane, Jim Broadbent, Douglas McGrath, Charles Dickens, Douglas McGrath,Family,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,,
Conventi di Subiaco,1913,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Don't Bet on Love,1933, Lew Ayres, Ginger Rogers, Charley Grapewin, Murray Roth,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Twin Husbands,1933, John Miljan, Shirley Grey, Monroe Owsley, Frank R. Strayer, Anthony Coldeway, Robert Ellis, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Billy's Hollywood Screen Kiss,1998, Sean Hayes, Brad Rowe, Richard Ganoung, Tommy O'Haver, Tommy O'Haver, Marcus Hu,Romance,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Kino-pravda no. 17,1923,NA,NA,NA, Dziga Vertov,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bunny,2005, Allu Arjun, Gowri Munjal,NA, Vinayak V.V., Vinayak V.V., Vinayak V.V.,Romance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
And Thou Shalt Love,2007, Ori Lachmi, Omer Zonenshein,NA,NA,NA,NA, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Bhool Bhulaiyaa,2007, Akshay Kumar, Vidya Balan, Ameesha Patel, Priyadarshan, Madhu Muttam, Bhushan Kumar,Thriller,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Cancer Vixen: A True Story,2015, Cate Blanchett,NA,NA, Tim Bevan,NA,NA, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Dimmu Borgir: World Misanthropy,2002, Shagrah, Silenoz, Galder,NA,NA,NA, Music,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Suspicions of Mr. Whicher: The Murder at Road Hill House,2011, Paddy Considine, Peter Capaldi, Tom Georgeson, James Hawes, Kate Summerscale, Neil McKay,TVMovie,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,
Creepozoids,1987, Linnea Quigley, Ken Abraham, Michael Aranda, Thomas L. Callaway, David DeCoteau, David DeCoteau,ScienceFiction,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Camel Footage,2006,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Train of Events,1949, Jack Warner, Gladys Henson, Patric Doonan, Sidney Cole, Charles Crichton, Basil Deardon,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
My Date with the President's Daughter,1998, Dabney Coleman, Will Friedle, Elisabeth Harnois, Alex Zamm, Alex Zamm, William Robertson,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hibernation,2005, Adam Paroussos, Adam Arnold, Sonny Rooney, John Williams, John Williams,NA,ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,,
Class Dismissed: How TV Frames the Working Class,2005, Stanley Aranowitz, Ed Asner, Roseanne Barr, Loretta Alper, Pepi Leistyna, Thom Monahan, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Princess Iron Fan,1941,NA,NA,NA,NA,NA,NA,Foreign,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
U2 3D,2007,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Girls In White 2012 Part 3,2012, Julia Ann, Dana DeArmond, Cherie DeVille,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lafesse dans l'camion !,2007, Jean-Yves Lafesse,NA,NA, Jean-Yves Lafesse,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jim Breuer: Hardcore,2002, Jim Breuer,NA,NA, Jim Breuer, Paul Miller,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Disney Sing-Along-Songs: Flik's Musical Adventure,1999,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mark of the Astro-Zombies,2002, Tura Satana, Liz Renay, Brinke Stevens, Ted V. Mikels, Ted V. Mikels, Ted V. Mikels,ScienceFiction,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
At The Tattooist,2010, Adelaide Clemens, Alycia Debnam-Carey, Cariba Heine, Sophie Miller, Sophie Miller, Jena Woodburn,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30 YEARS TO LIFE,2003, Erika Alexander, Melissa De Sousa, Tracy Morgan, Vanessa Middleton,NA,NA,Romance,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Row Hard No Excuses,2007,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Walker,2007, Woody Harrelson, Kristin Scott Thomas, Lauren Bacall, Paul Schrader, Paul Schrader,NA,Mystery,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,
Eyal Golan - Live at Nokia Arena,2011, Eyal Golan, Eli Yatzpan,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Peggio per me... meglio per te,1967, Little Tony, Katia Christine, Gianni Agus, Bruno Corbucci, Bruno Corbucci, Dino Verde,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
One Eight Seven,1997, Samuel L. Jackson, John Heard, Kelly Rowan, Kevin Reynolds, Scott Yagemann, Bruce Davey,Thriller,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,
The Last Horror Movie,2005, Kevin Howarth, Mark Stevenson, Antonia Beamish, Julian Richards, Zorana Piggott, Simon Lambros,Thriller,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Trouble with the Curve,2012, Clint Eastwood, Amy Adams, Justin Timberlake, Robert Lorenz, Randy Brown, Geoffrey Miclat,Romance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Larger Than Life,1996, Bill Murray, Tai the Elephant, Jeremy Piven, Howard Franklin, Roy Blount,  Jr.,Family,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
The Loft,2014, Karl Urban, James Marsden, Wentworth Miller, Erik Van Looy, Bart De Pauw, Wesley Strick, Thriller,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Lift,2001,NA,NA,NA, Marc Isaacs,NA,NA, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Russia 88,2009, Pyotr Fyodorov,NA,NA, Pavel Bardin,NA,NA,Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
500000 Black,1977, Shaike Ophir,NA,NA, Shaike Ophir,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ninja Thunderbolt,1984, Richard Harrison, Don Wong Tao, Yasuaki Kurata, Tommy Lee, Godfrey Ho, Godfrey Ho,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Batman Begins,2005, Christian Bale, Michael Caine, Liam Neeson, Christopher Nolan, Bob Kane, Emma Thomas,Drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,
Entrusted,2003, Klaus Maria Brandauer, Ken Duken, Thomas Heinze, Giacomo Battiato,NA,NA,Thriller,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,
One for the Road,2003, Hywel Bennett, Rupert Procter, Gregory Chisholm, Chris Cooke,NA,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tunnel,2002, Kim Coates, Daniel Baldwin, Janine Theriault, Daniel Baldwin, Tony Johnston,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Shirley et Dino - Le Spectacle Inedit,2007,NA,NA,NA,NA,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Little Giants,1994, Rick Moranis, Ed O'Neill, Devon Sawa, Duwayne Dunham, James Ferguson, Robert Shallcross,Family,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Fast Forward,1985, John Scott Clough, Don Franklin, Tamara Mark, Pat Blymyer, Sidney Poitier, Richard Wesley,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
